time,x,y,z,p1
0.0,0.0,0.0,0.0,0.014142135623730952
0.1,249.7224687404925,11.776612677410666,0.07853658655910338,0.014362525955263777
0.2,497.78098230154,47.05415665925716,0.15705379539064146,0.014579372548428232
0.30000000000000004,742.5177432874183,105.67592395318704,0.23553225354821333,0.014792621899572192
0.4,982.2872507286887,187.38131458572462,0.31395259764656686,0.01500222139260919
0.5,1215.4624004970956,291.80670481988176,0.3922954786392247,0.015208119312000619
0.6000000000000001,1440.4405285154148,418.48665905884405,0.4705415665925716,0.015410264855515785
0.7000000000000001,1655.6493779482046,566.8554818467616,0.5486715554552264,0.015608608146766595
0.8,1859.5529717765028,736.2491053693559,0.6266661678215213,0.015803100247513805
0.9,2050.657372429752,925.9073068614947,0.7045061596879133,0.01599369316974181
1.0,2227.51631047092,1134.976249348867,0.7821723252011543,0.016180339887498948
1.1,2388.736664705026,1362.511338189121,0.8596455013970478,0.016362994348500467
1.2000000000000002,2532.983776506045,1607.4803849369903,0.9369065729286231,0.016541611485491235
1.3,2658.9865816313263,1868.7670691406554,1.0139364767825625,0.016716147227365405
1.4000000000000001,2765.5425433149167,2145.174687785418,1.0907162069827128,0.0168865585100403
1.5,2851.522371000116,2435.4301812381887,1.167226819279527,0.017052803287081843
1.6,2915.874509685646,2738.188423714755,1.243449435824274,0.017214840540078873
1.7000000000000002,2957.629385517336,3052.0367654935526,1.3193652498268647,0.017372630288763825
1.8,2975.903393956434,3375.4998133370677,1.3949555301961465,0.01752613360087727
1.9000000000000001,2969.9026175945996,3707.044434857066,1.4702016261615198,0.01767531260177387
2.0,2938.926261462366,4045.084971874737,1.545084971874737,0.017820130483767356
2.1,2882.369794490192,4387.98864718342,1.619587090990747,0.017960551515212312
2.2,2799.727786627042,4734.081148521691,1.693689601226457,0.018096541049320392
2.3000000000000003,2690.5964319982972,5081.652373009988,1.767374218896286,0.018228065532708906
2.4000000000000004,2554.675749390435,5428.962314796118,1.8406227634233898,0.018355092513679623
2.5,2391.7714522818114,5774.247078195542,1.913417161825449,0.018477590650225736
2.6,2201.7964815943947,6115.724998202465,1.985739453173903,0.018595529717765027
2.7,1984.7721953180512,6451.602849888728,2.0575717930255437,0.018708880616597347
2.8000000000000003,1740.8292101539835,6780.0821279004185,2.1288964578253635,0.01881761537908451
2.9000000000000004,1470.207891334714,7099.3653770078035,2.1996958492795757,0.018921707176550905
3.0,1173.258487801732,7407.6625544635335,2.2699524986977337,0.019021130325903073
3.1,850.4409109556016,7703.197404777643,2.339649071302867,0.019115860295966604
3.2,502.32415623450646,7984.213827426172,2.4087683705085765,0.01920587371353886
